"genename"	"genestatus"
"RNF146"	1
"RNF165"	1
"RNF19A"	1
"RNF208"	0
"RNF213"	1
"RNF217"	1
"RNF25"	1
"RNF31"	1
"RNF38"	1
"RNPEPL1"	1
"ROMO1"	1
"RP9"	1
"RPL15"	1
"RPL18"	1
"RPL19"	1
"RPL23"	1
"RPL24"	1
"RPL30"	1
"RPL31"	1
"RPL35A"	1
"RPL37A"	1
"RPL38"	1
"RPL41"	1
"RPL6"	1
"RPN2"	1
"RPP21"	1
"RPRD1A"	1
"RPS13"	1
"RPS14"	1
"RPS15"	0
"RPS19BP1"	1
"RPS2"	0
"RPS20"	1
"RPS21"	1
"RPSAP58"	1
"RPUSD1"	0
"RPUSD2"	1
"RRS1"	1
"RSBN1"	1
"RSC1A1"	1
"RSL1D1"	1
"RSL24D1"	1
"RTKN"	1
"RTN4RL2"	1
"RTTN"	1
"RUSC1"	1
"RYR3"	1
"S100A2"	1
"S100A6"	1
"S1PR5"	0
"SAFB"	1
"SAFB2"	1
"SAMD8"	1
"SAP18"	1
"SAP30BP"	0
"SARNP"	1
"SART1"	1
"SBDS"	1
"SBNO2"	1
"SCAF1"	1
"SCAMP4"	0
"SCARF1"	1
"SCG5"	1
"SCN1B"	1
"SCNN1D"	0
"SCUBE1"	1
"SCYL1"	1
"SCYL2"	1
"SDAD1"	1
"SDC1"	1
"SDF2"	1
"SDF2L1"	1
"SDHB"	1
"SDHD"	1
"SDPR"	1
"SEC13"	1
"SEC16B"	1
"SEC24A"	1
"SEC24C"	1
"SEC24D"	1
"SEC31A"	1
"SEC61A1"	1
"SEC61G"	1
"SEMA4C"	1
"SEMA4F"	1
"SEPN1"	1
"SEPP1"	1
"SEPT1"	1
"SEPT7"	1
"SERBP1"	1
"SETD5"	1
"SF1"	1
"SF3A1"	1
"SF3B1"	1
"SF3B4"	1
"SFPQ"	1
"SGK196"	1
"SGK3"	1
"SGMS2"	1
"SGTA"	0
"SH2D1B"	1
"SH2D3A"	1
"SH3BGR"	1
"SH3BP4"	1
"SH3RF2"	1
"SHANK3"	1
"SHCBP1"	1
"SHFM1"	1
"SHOC2"	1
"SIGLEC7"	1
"SIGLEC8"	1
"SIRT7"	1
"SKI"	0
"SLC14A2"	1
"SLC23A1"	1
"SLC25A10"	0
"SLC25A22"	0
"SLC25A30"	1
"SLC25A33"	1
"SLC25A35"	1
"SLC29A2"	1
"SLC2A13"	1
"SLC30A1"	1
"SLC30A4"	1
"SLC30A5"	1
"SLC34A1"	1
"SLC35A3"	1
"SLC35E1"	1
"SLC38A1"	1
"SLC38A2"	1
"SLC38A7"	1
"SLC39A10"	1
"SLC39A14"	1
"SLC3A2"	1
"SLC43A2"	1
"SLC44A1"	1
"SLC4A10"	1
"SLC4A3"	1
"SLC4A4"	1
"SLC4A7"	1
"SLC50A1"	1
"SLC6A9"	1
"SLX4"	1
"SMARCA2"	1
"SMC3"	1
"SMCR7L"	1
"SMPD1"	1
"SMYD5"	1
"SNRNP200"	1
"SNRPA1"	1
"SNRPD1"	1
"SNRPG"	1
"SNX13"	1
"SNX14"	1
"SNX3"	1
"SNX4"	1
"SOCS4"	1
"SOCS7"	1
"SOD1"	1
"SON"	1
"SOX30"	1
"SP2"	1
"SP3"	1
"SPAG9"	1
"SPATA2"	1
"SPCS3"	1
"SPESP1"	1
"SPI1"	1
"SPIB"	1
"SPICE1"	1
"SPIN1"	1
"SPN"	1
"SPOCK1"	1
"SPOP"	1
"SPOPL"	1
"SPR"	1
"SPRY1"	1
"SPSB3"	1
"SPTA1"	1
"SPTAN1"	1
"SRCAP"	1
"SRF"	1
"SRRM1"	1
"SRSF1"	1
"SRSF10"	1
"SRSF11"	1
"SRSF9"	1
"SS18"	1
"SS18L2"	1
"SSB"	1
"SSBP2"	1
"SSBP3"	1
"SSC5D"	0
"SSPN"	1
"SSR2"	1
"SSRP1"	1
"ST3GAL2"	1
"STAR"	1
"STAT3"	1
"STAT4"	1
"STIL"	1
